School,Zip Code,Grades,Local District,Board District,complete_address,lat,long,arrest_0.5_mile,arrest_1_mile
West Adams Preparatory Senior High,90007,9-12,C,2-Monica Garcia,1500 W Washington Bl Los Angeles CA 90007,34.03976,-118.28954170000002,12,60
Murchison Street Elementary,90033,K- 6,E,2-Monica Garcia,1501 Murchison St Los Angeles CA 90033,34.0598573,-118.1959607,4,15
Richard Henry Dana Middle School,90731,6- 8,S,7-Dr Richard A Vladovic,1501 S Cabrillo Ave San Pedro CA 90731,33.7306286,-118.295533,37,79
Lassen Elementary,91343,K- 5,NW,6-Kelly Gonez,15017 Superior St North Hills CA 91343,34.247396,-118.46016200000001,2,33
Valerio Street Elementary,91405,K- 5,NE,6-Kelly Gonez,15035 Valerio St Van Nuys CA 91405,34.2051321,-118.460378,17,65
Vista Middle School,91402,6- 8,NE,6-Kelly Gonez,15040 Roscoe Blvd Panorama City CA 91402,34.221081,-118.46029399999999,14,83
Harbor City Elementary,90710,K- 5,S,7-Dr Richard A Vladovic,1508 W 254th St Harbor City CA 90710,33.7933935,-118.30317990000002,12,20
John Adams Middle School,90007,6- 8,C,2-Monica Garcia,151 W 30th St Los Angeles CA 90007,34.0226018,-118.27047759999998,5,56
Micheltorena Street Elementary,90026,K- 5,C,5-Vacant,1511 Micheltorena St Los Angeles CA 90026,34.088915500000006,-118.2752737,2,20
Boys Academic Leadership Academy,90047,6- 8,W,1-Dr George J McKenna III,1511 W 110th St Los Angeles CA 90047,33.936028,-118.30312079999999,0,11
Pio Pico Middle School,90019,6- 8,W,1-Dr George J McKenna III,1512 S Arlington Ave Los Angeles CA 90019,34.0450973,-118.3172,38,63
Compton Avenue Elementary,90002,K- 5,S,7-Dr Richard A Vladovic,1515 E 104th St Los Angeles CA 90002,33.9426112,-118.2471118,21,79
Virgil Middle School,90004,6- 8,C,2-Monica Garcia,152 N Vermont Ave Los Angeles CA 90004,34.0736941,-118.2916438,23,75
Hollywood Senior High,90028,9-12,W,4-Nick Melvoin,1521 N Highland Ave Los Angeles CA 90028,34.0991651,-118.3400534,303,500
Thomas Riley High School - CYESIS,90002,7-12,S,7-Dr Richard A Vladovic,1524 E 103rd St Los Angeles CA 90002,33.9429317,-118.2471118,16,78
Phineas Banning Senior High,90744,9-12,S,7-Dr Richard A Vladovic,1527 Lakme Ave Wilmington CA 90744,33.7944323,-118.2612504,1,8
15th Street Elementary,90731,K- 5,S,7-Dr Richard A Vladovic,1527 S Mesa St San Pedro CA 90731,33.729952000000004,-118.287287,33,81
Grant Elementary,90028,K- 6,W,5-Vacant,1530 N Wilton Pl Los Angeles CA 90028,34.0998217,-118.3132646,47,209
Francisco Sepulveda Middle School Gifted Magnet,91343,6- 8,NW,6-Kelly Gonez,15330 Plummer St North Hills CA 91343,34.242394700000006,-118.46576090000002,18,56
Ivy Bound Academy of Math Science & Technology,91403,5- 8,XR,3-Scott M Schmerelson,15355 Morrison St Sherman Oaks CA 91403,34.1614237,-118.4686103,3,12
Judith F Baca Arts Academy,90002,K- 6,S,7-Dr Richard A Vladovic,1536 E 89th St Los Angeles CA 90002,33.9560998,-118.2466508,3,30
Duke Ellington Continuation High,90047,9-12,W,1-Dr George J McKenna III,1541 W 110th St Los Angeles CA 90047,33.9357862,-118.3039335,0,11
Animo Florence-Firestone Charter Middle,90003,6- 7,XR,7-Dr Richard A Vladovic,155 W 69th St Los Angeles CA 90003,33.9775842,-118.27582190000001,42,88
Alliance Ted K Tajima High,90026,9-11,XR,2-Monica Garcia,1552 W Rockwood St Los Angeles CA 90026,34.063479,-118.26153500000001,2,42
