Arrest Date,Time,Area Name,Age,Sex Code,Descent Code,Arrest Type Code,Charge Description,lat,long,disp_0.5_mile,disp_1_mile,school_0.5_mile,school_1_mile
2018-06-22,350.0,Newton,34,M,B,F,possession marijuana for sale,34.0273,-118.2379,7,9,1,5
2018-06-23,945.0,Pacific,30,M,W,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2018-06-23,604.0,Pacific,27,M,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2018-06-25,220.0,Newton,24,M,H,F,unlawfully plant/cultivate/etc marijuana,34.0273,-118.2379,7,9,1,5
2018-06-25,1830.0,Pacific,59,M,O,F,possession marijuana for sale,33.944,-118.4073,0,1,0,0
2018-06-25,2308.0,Pacific,23,M,B,F,sale/trans >28.5g marijuana or >4g,33.944,-118.4073,0,1,0,0
2018-06-26,2120.0,Northeast,33,M,H,F,transport/sell/furnish/etc marijuana,34.1153,-118.232,0,0,2,10
2018-06-26,1218.0,West Valley,28,M,H,F,transport/sell/furnish/etc marijuana,34.1662,-118.4965,0,0,1,1
2018-06-26,1218.0,Van Nuys,26,M,H,F,transport/sell/furnish/etc marijuana,34.1603,-118.4399,0,4,1,3
2018-06-27,2335.0,Hollywood,21,F,H,I,smoke/ingest marijuana in public place,34.1016,-118.3348,2,2,2,5
2018-06-27,1800.0,Foothill,51,M,W,F,poss/sale marij ovr 21 employ per 20/belw,34.2291,-118.3752,0,1,0,1
2018-06-27,1800.0,Foothill,40,M,W,F,poss/sale marij ovr 21 employ per 20/belw,34.2291,-118.3752,0,1,0,1
2018-06-27,1920.0,77th Street,23,F,H,M,sale/offer to sell/transport marijuana,33.9814,-118.3003,0,1,1,8
2018-06-27,1645.0,West Valley,25,F,W,M,cultivating <6 marijuana plants,34.1975,-118.5335,0,0,1,7
2018-06-27,1645.0,West Valley,50,F,W,M,cultivating <6 marijuana plants,34.1975,-118.5335,0,0,1,7
2018-06-27,1645.0,West Valley,28,M,W,M,cultivating <6 marijuana plants,34.1975,-118.5335,0,0,1,7
2018-06-27,1645.0,West Valley,27,M,W,M,cultivating <6 marijuana plants,34.1975,-118.5335,0,0,1,7
2018-06-27,1530.0,Olympic,21,M,W,M,poss marijuana or concentrated cannabis,34.0636,-118.3047,0,1,3,14
2018-06-28,1820.0,Southeast,20,F,H,M,sale/offer to sell/transport marijuana,33.9473,-118.2695,0,2,3,14
2018-06-28,1820.0,Southeast,24,F,H,M,sale/offer to sell/transport marijuana,33.9473,-118.2695,0,2,3,14
2018-06-28,700.0,Pacific,29,M,B,F,sale/trans >28.5g marijuana or >4g,33.9433,-118.4072,0,0,0,0
2018-06-28,1800.0,Pacific,32,F,B,F,sale/trans >28.5g marijuana or >4g,33.9433,-118.4072,0,0,0,0
2018-06-29,1325.0,77th Street,25,M,B,F,sale/trans >28.5g marijuana or >4g,33.9708,-118.2783,0,1,2,13
2018-06-29,1320.0,77th Street,26,M,W,F,sale/trans >28.5g marijuana or >4g,33.9708,-118.2783,0,1,2,13
2018-06-30,915.0,Pacific,29,M,B,F,sale/trans >28.5g marijuana or >4g,33.944,-118.4073,0,1,0,0
2018-07-02,945.0,Pacific,27,M,O,F,possession marijuana for sale,33.944,-118.4073,0,1,0,0
2018-07-03,1430.0,Central,45,F,W,I,smoke/ingest marijuana in public place,34.0495,-118.2563,4,14,2,15
2018-07-04,1740.0,Hollywood,41,M,B,I,smoke/ingest marijuana in public place,34.098,-118.3441,1,5,2,5
2018-07-04,1650.0,Hollywood,30,M,B,I,smoke/ingest marijuana in public place,34.1016,-118.3387,0,5,2,4
2018-07-04,2339.0,Hollywood,20,M,H,I,smoke/ingest marijuana in public place,34.1016,-118.3414,0,5,2,4
2018-07-04,2335.0,Hollywood,18,M,H,I,smoke/ingest marijuana in public place,34.1016,-118.3387,0,5,2,4
2018-07-05,2355.0,Hollywood,22,M,B,I,smoke/ingest marijuana in public place,34.1016,-118.3348,2,2,2,5
2018-07-05,2224.0,N Hollywood,32,M,B,F,possession marijuana for sale,34.1776,-118.3703,0,5,2,6
2018-07-05,20.0,Hollywood,18,M,H,I,smoke/ingest marijuana in public place,34.1016,-118.3387,0,5,2,4
2018-07-06,2200.0,Hollywood,52,M,W,M,possess marijuana for sale,34.1016,-118.3414,0,5,2,4
2018-07-06,105.0,Hollywood,22,M,W,I,smoke/ingest marijuana in public place,34.1016,-118.3361,0,4,2,5
2018-07-06,100.0,Hollywood,21,F,O,I,smoke/ingest marijuana in public place,34.1016,-118.3361,0,4,2,5
2018-07-06,30.0,Hollywood,48,M,H,I,smoke/ingest marijuana in public place,34.1016,-118.3361,0,4,2,5
2018-07-06,35.0,Hollywood,37,M,H,I,smoke/ingest marijuana in public place,34.1016,-118.3361,0,4,2,5
2018-07-06,15.0,Hollywood,24,M,H,I,smoke/ingest marijuana in public place,34.1016,-118.331,2,2,1,8
2018-07-06,15.0,Hollywood,22,M,H,I,smoke/ingest marijuana in public place,34.1016,-118.331,2,2,1,8
2018-07-06,1115.0,Southeast,66,M,B,F,possession marijuana for sale,33.9502,-118.2651,0,0,3,14
2018-07-07,445.0,Hollywood,18,M,H,F,transport/sell/furnish/etc marijuana,34.1042,-118.3383,0,3,2,3
